no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
1349,Ornidazole,17-G10,16773-42-5,"125µl,10mMol/L",A nitroimidazole antiprotozoal agent used in ameba and trichomonas infections. It is partially plasma-bound and also has radiation-sensitizing action. ,C7H10ClN3O3,219.63,"USAN, INN","1. Rutgeerts P et al. Gastroenterology, 2005, 128(4):856-861."
1350,Acetylspiramycin,17-G11,24916-51-6,"125µl,10mMol/L",Acetylspiramycin targets 50S ribosome to inhibit protein synthesis.,C45H76N2O15,885.09,JAN,"1. Kondo A, et al. Jpn J Antibiot. 1990 Sep;43(9):1521-9."
1351,Resveratrol,17-H2,501-36-0,"125µl,10mMol/L","Resveratrol is a phytoalexin produced naturally by several plants with anti-cancer, anti-inflammatory, blood-sugar-lowering and other beneficial cardiovascular effects.",C14H12O3,228.24,,"1. Pirola L, et al. IUBMB Life, 2008, 60(5), 323-332."
1352,Betamethasone dipropionate,17-H3,5593-20-4,"125µl,10mMol/L",Betamethasone Dipropionate is a glucocorticoid steroid with anti-inflammatory and immunosuppressive abilities.,C28H37FO7,504.59,"USP, INN, BAN, JAN","1. Park JM, et al. J Am Acad Dermatol. 2013 Sep;69(3):492-3."
1353,Thiamphenicol,17-H4,15318-45-3,"125µl,10mMol/L",A methylsulfonyl analog of CHLORAMPHENICOL. It is an antibiotic and immunosuppressive agent.,C12H15Cl2NO5S,356.22,"USAN, INN, BAN, JAN","1. Berman HM, et al. Nucleic Acids Res. 2000 Jan 1; 28(1): 235-42."
1354,Tegaserod maleate,17-H5,189188-57-6,"125µl,10mMol/L","Tegaserod is a 5-HT4 agonist manufactured by Novartis and used for the management of irritable bowel syndrome and constipation. Its use was the only drug approved by the United States Food and Drug Administration to help relieve the abdominal discomfort, bloating and constipation associated with irritable bowel syndrome. On March 30, 2007, the U.S. Food and Drug Administration requested that Novartis withdraw Zelnorm from shelves. The FDA alleges a relationship between prescriptions of the drug and increased risks of heart attack or stroke. ",C20H27N5O5,417.46,"USAN, INN, BAN","1. Beattie DT, et al. Br J Pharmacol. 2004 Nov;143(5):549-60. "
1355,Prednisolone,17-H6,50-24-8,"125µl,10mMol/L",Prednisolone Acetate is a synthetic corticosteroid drug that is particularly effective as an immunosuppressant agent.,C21H28O5,360.44,"USP, INN, BAN, JAN","1. Ikonomidis I, et al. Heart. 2009 Sep;95(18):1502-7."
1356,Rebamipide,17-H7,90098-04-7,"125µl,10mMol/L","Rebamipide, an amino acid derivative of 2-(1H)-quinolinone, is used for mucosal protection, healing of gastroduodenal ulcers, and treatment of gastritis. It works by enhancing mucosal defense, scavenging free radicals, and temporarily activating genes encoding cyclooxygenase-2.",C19H15ClN2O4,370.79,"INN, JAN","1. Matsuda T, et al. Drugs R D. 2003;4(1):19-28."
1357,Nifuroxazide,17-H8,965-52-6,"125µl,10mMol/L",Nifuroxazide is a cell-permeable and orally available nitrofuran-based antidiarrheal agent that effectively suppresses the activation of cellular STAT1/3/5 transcription activity .,C12H9N3O5,275.22,INN,"1. Nelson EA, et al. Blood, 2008, 112(13), 5095-5102."
1358,Cisplatin,17-H9,15663-27-1,"125µl,10mMol/L","Cisplatin is an inorganic platinum complex, which is able to inhibit DNA synthesis by conforming DNA adducts in tumor cells.",H6Cl2N2Pt,300.05,"USP, INN, BAN, JAN","1. Siddik ZH. Oncogene, 2003, 22(47), 7265-7279."
1359,Deferidone,17-H10,30652-11-0,"125µl,10mMol/L","Deferiprone is an oral iron chelator used as a second line agent in thalassemia syndromes when iron overload from blood transfusions occurs. Thalassemias are a type of hereditary anaemia due a defect in the production of hemoglobin. As a result, erythropoiesis, the production of new red blood cells, is impaired. FDA approved on October 14, 2011.  ",C7H9NO2,139.15,"INN, BAN","1. Barnabé N, et al. Free Radic Biol Med, 2002, 33(2), 266-275."
1360,Aripiprazole,17-H11,129722-12-9,"125µl,10mMol/L","Aripiprazole is an atypical antipsychotic medication used for the treatment of schizophrenia. It has also recently received FDA approval for the treatment of acute manic and mixed episodes associated with bipolar disorder. Aripiprazole appears to mediate its antipsychotic effects primarily by partial agonism at the D2 receptor. In addition to partial agonist activity at the D2 receptor, aripiprazole is also a partial agonist at the 5-HT1A receptor, and like the other atypical antipsychotics, aripiprazole displays an antagonist profile at the 5-HT2A receptor. Aripiprazole has moderate affinity for histamine and alpha adrenergic receptors, and no appreciable affinity for cholinergic muscarinic receptors. ",C23H27Cl2N3O2,448.39,"USAN, INN, BAN",1. Nasrallah HA. Mol Psychiatry. 2008 Jan;13(1):27-35. 
1361,Olanzapine,18-A2,132539-06-1,"125µl,10mMol/L","Olanzapine is an atypical antipsychotic, approved by the FDA in 1996. Olanzapine is manufactured and marketed by the pharmaceutical company Eli Lilly and Company, whose patent for olanzapine proper ends in 2011.
",C17H20N4S,312.44,"USAN, INN, BAN","1. McDonald LM, et al. Psychopharmacology (Berl). 2003 Sep;169(3-4):321-31."
1362,Amoxapine,18-A3,14028-44-5,"125µl,10mMol/L","Amoxapine is the N-demethylated derivative of the antipsychotic agent LOXAPINE that works by blocking the reuptake of norepinephrine, serotonin, or both. It also blocks dopamine receptors.
",C17H16ClN3O,313.79,"USP, INN, BAN, JAN","1. Tatsumi M, et al. Eur J Pharmacol. 1997 Dec 11;340(2-3):249-58."
1363,Tigecycline,18-A4,220620-09-7,"125µl,10mMol/L",Tigecycline is bacteriostatic and is a protein synthesis inhibitor by binding to the 30S ribosomal subunit of bacteria and thereby blocking entry of Aminoacyl-tRNA into the A site of the ribosome during prokaryotic translation.,C29H39N5O8,585.65,"USP,INN, BAN","1. Livermore DM, et al. J Antimicrob Chemother, 2005, 56(4), 611-614."
1364,Clobetasol propionate,18-A5,25122-46-7,"125µl,10mMol/L","A derivative of PREDNISOLONE with high glucocorticoid activity and low mineralocorticoid activity. Absorbed through the skin faster than FLUOCINONIDE, it is used topically in treatment of PSORIASIS but may cause marked adrenocortical suppression.
",C25H32ClFO5,466.97,"USP, INN, BAN, JAN","1. Fitzgerald P, et al. Psychol Med. 2006 Jan;36(1):37-43. "
1365,Telmisartan,18-A6,144701-48-4,"125µl,10mMol/L","Telmisartan is an angiotensin II receptor antagonist (ARB) used in the management of hypertension. Generally, angiotensin II receptor blockers (ARBs) such as telmisartan bind to the angiotensin II type 1 (AT1) receptors with high affinity, causing inhibition of the action of angiotensin II on vascular smooth muscle, ultimately leading to a reduction in arterial blood pressure. Recent studies suggest that telmisartan may also have PPAR-gamma agonistic properties that could potentially confer beneficial metabolic effects. ",C33H30N4O2,514.62,"USAN, INN, BAN","1. Benson SC, et al. Hypertension, 2004, 43(5), 993-1002."
1366,Flunisolide,18-A7,542449,"125µl,10mMol/L","Flunisolide (marketed as AeroBid, Nasalide, Nasarel) is a corticosteroid often prescribed as treatment for allergic rhinitis. The principle mechanism of action of flunisolide is to activate glucocorticoid receptors. It also has anti-inflammatory action.
",C24H31FO6,434.5,USP,"1. Hochhaus G, Moellmann HW. Agents Actions. 1990 Jun;30(3-4):377-80. "
1367,Etoricoxib,18-A8,202409-33-4,"125µl,10mMol/L","In summary, Etoricoxib represents a novel agent that selectively inhibits COX-2 with 106-fold selectivity in human whole blood assays in vitro and with the lowest potency of inhibition of COX-1 compared with other reported selective agents. Single preoperative oral dose (120 mg) of Etoricoxib, given one hour before surgery, has significantly reduced the post operative pain at rest and movement and improved sleep in patients undergoing single level diskectomy without any side effects and with good patient satisfaction.",C18H15ClN2O2S,358.84,USP,"1. Capone ML, et al. Prostaglandins Other Lipid Mediat. 2007 Jan;82(1-4):85-94."
1368,Nizatidine,18-A9,76963-41-2,"125µl,10mMol/L",A histamine H2 receptor antagonist with low toxicity that inhibits gastric acid secretion. The drug is used for the treatment of duodenal ulcers.,C12H21N5O2S2,331.46,"USP, INN, BAN, JAN","1. Lin TM, et al. J Pharmacol Exp Ther, 1986, 239(2), 406-410."
1369,Norethindrone,18-A10,68-22-4,"125µl,10mMol/L","A synthetic progestational hormone with actions similar to those of PROGESTERONE but functioning as a more potent inhibitor of ovulation. It has weak estrogenic and androgenic properties. The hormone has been used in treating amenorrhea, functional uterine bleeding, endometriosis, and for contraception. ",C20H26O2,298.42,"USP, INN, BAN, JAN","1. Mendoza-Rodriguez CA, et al. Contraception. 1999 May;59(5):339-43."
1370,Iopamidol,18-A11,60166-93-0,"125µl,10mMol/L","A non-ionic, water-soluble contrast agent which is used in myelography, arthrography, nephroangiography, arteriography, and other radiological procedures.  ",C17H22I3N3O8,777.09,USP,"1. Weiland FL, et al. Acta Radiol. 2014 Jul;55(6):715-24. "
1371,Midodrine HCl,18-B2,3092-17-9,"125µl,10mMol/L",An ethanolamine derivative that is an adrenergic alpha-1 agonist. It is used as a vasoconstrictor agent in the treatment of HYPOTENSION.,C12H19ClN2O4,290.74,"USAN, INN, BAN, JAN","1. Buckner SA, et al. Eur J Pharmacol. 2002 Aug 2;449(1-2):159-65. "
1372,Pargyline HCl,18-B3,306-07-0,"125µl,10mMol/L",A monoamine oxidase inhibitor with antihypertensive properties. ,C11H14NCl,195.69,"USAN, INN, BAN","1. Patkar AA, et al. CNS Spectr. 2006, 11(5):363-75."
1373,Mestranol,18-B4,72-33-3,"125µl,10mMol/L",Mestranol is the 3-methyl ether of ethinylestradiol. It was the estrogen used in many of the first oral contraceptives. It is a biologically inactive prodrug of ethinylestradiol to which it is demethylated in the liver with a conversion efficiency of 70%,C21H26O2,310.43,"USP, INN, BAN, JAN",1. IARC Monogr Eval Carcinog Risk Chem Hum. 1979 Dec;21:257-78.
1374,Estriol,18-B5,50-27-1,"125µl,10mMol/L",Estriol is an antagonist of the G-protein coupled estrogen receptor in estrogen receptor-negative breast cancer cells.,C18H24O3,288.39,"USP, INN, BAN, JAN","1. Lappano R, et al. Mol Cell Endocrinol. 2010, 320(1-2), 162-170."
1375,Dichlorvos,18-B6,62-73-7,"125µl,10mMol/L","it belongs to organophosphate compounds,  used as a kind of common environmental health insecticide.",C4H7Cl2O4P,220.98,"USAN, INN, BAN",1. JEANDIDIER P. Ann Med Nancy. 1964 Aug-Sep;42:1062-5.
1376,Desvenlafaxine,18-B7,93413-62-8,"125µl,10mMol/L","Desvenlafaxine (O-desmethylvenlafaxine) the major active metabolite of venlafaxine, is an antidepressant from the serotonin-norepinephrine reuptake inhibitor (SNRI class). Desvenlafaxine may be used to treat major depressive disorder and is being studied for use in the management of vasomotor symptoms in postmenopausal women. It is formulated as an extended release tablet. FDA approved in 2008. ",C16H25NO2,263.38,"USAN, INN","1. Deecher DC, et al. J Pharmacol Exp Ther. 2006 Aug;318(2):657-65."
1377,"Vorinostat (SAHA, MK0683)",18-B8,149647-78-9,"125µl,10mMol/L","Vorinostat (rINN) or suberoylanilide hydroxamic acid (SAHA), is a drug currently under investigation for the treatment of cutaneous T cell lymphoma (CTCL), a type of skin cancer, to be used when the disease persists, gets worse, or comes back during or after treatment with other medicines. It is the first in a new class of agents known as histone deacetylase inhibitors. A recent study suggested that vorinostat also possesses some activity against recurrent glioblastoma multiforme, resulting in a median overall survival of 5.7 months (compared to 4 - 4.4 months in earlier studies). Further brain tumor trials are planned in which vorinostat will be combined with other drugs. 
",C14H20N2O3,264.32,"USAN, INN","1. Xu WS, et al. Oncogene. 2007 Aug 13; 26(37): 5541-52. "
1378,Terbutaline Sulfate,18-B9,23031-32-5,"125µl,10mMol/L",A selective beta-2 adrenergic agonist used as a bronchodilator and tocolytic.,C12H21NO7S,274.32,"USP, INN, BAN, JAN","1. Petersson BA. Allergy, 1984, 39(5), 351-357."
1379,Metolazone,18-B10,17560-51-9,"125µl,10mMol/L",Metolazone(Zaroxolyn) is primarily used to treat congestive heart failure and high blood pressure.,C16H16ClN3O3S,365.83,"USP, INN, BAN, JAN","1. Rosenberg J, et al. Cardiovasc Drugs Ther. 2005 Aug;19(4):301-6."
1380,Tenoxicam,18-B11,59804-37-4,"125µl,10mMol/L","Tenoxicam, an antiinflammatory agent with analgesic and antipyretic properties, is used to treat osteoarthritis and control acute pain.",C13H11N3O4S2,337.37,"USAN, INN, BAN, JAN","1. Yamada M, et al. J Pharmacol Exp Ther. 1997 May;281(2):1005-12."
1381,Exemestane,18-C2,107868-30-4,"125µl,10mMol/L","Exemestane is an oral steroidal aromatase inhibitor used in the adjuvant treatment of hormonally-responsive (also called hormone-receptor-positive, estrogen-responsive) breast cancer in postmenopausal women. It acts as a false substrate for the aromatase enzyme, and is processed to an intermediate that binds irreversibly to the active site of the enzyme causing its inactivation.  ",C20H24O2,296.4,"USAN, INN","1. Wang X, et al. Cancer Res, 2006, 66(21), 10281-10286."
1382,Kemantane,18-C3,20098-14-0,"125µl,10mMol/L",It is an organic compound with molecular fomula C10H14O2.,C10H14O2,166.22,INN,"1. Mirzoian NR, et al. Eksp Klin Farmakol. 2013; 76(6): 7-10."
1383,D-Cycloserine,18-C4,68-41-7,"125µl,10mMol/L","Antibiotic substance produced by Streptomyces garyphalus.
",C3H6N2O2,102.09,"USP, INN, BAN, JAN","1. Noda M, et al. J Biol Chem. 2004 Oct 29; 279(44): 46143-52. "
1384,Letrozole,18-C5,112809-51-5,"125µl,10mMol/L","Letrozole (INN, trade name Femara®) is an oral non-steroidal aromatase inhibitor that has been introduced for the adjuvant treatment of hormonally-responsive breast cancer Estrogens are produced by the conversion of androgens through the activity of the aromatase enzyme. Letrozole blocks production of estrogens in this way by competitive, reversible binding to the heme of its cytochrome P450 unit. The action is specific, and letrozole does not reduce production of mineralo- or corticosteroids. In contrast, the antiestrogenic action of tamoxifen, the major medical therapy prior to the arrival of aromatase inhibitors, is due to its interfering with the estrogen receptor, rather than inhibiting estrogen production. Letrozole is approved by the United States Food and Drug Administration (FDA) for the treatment of local or metastatic breast cancer that is hormone receptor positive or has an unknown receptor status in postmenopausal women. Side effects include signs and symptoms of hypoestrogenism. There is concern that long term use may lead to osteoporosis, which is why prescriptions of Letrozole are often accompanied by prescriptions of osteoporosis-fighting medication such as Fosamax. Letrozole has shown to reduce estrogen levels by 98 percent while raising testosterone levels. The anti-estrogen action of letrozole is preferred by athletes and bodybuilders for use during a steroid cycle to reduce bloating due to excess water retention and prevent the formation of gynecomastia related breast tissue that is a side effect of some anabolic steroids. Usage above 2.5 mg/day is known to potentially temporarily kill sex drive. Above 5mg/day for extended periods may cause kidney problems. Letrozole has also been shown to delay the fusing of the growth plates in adolescents. This may boost the effectiveness of growth hormone, and thus Letrozole is used to treat adolescents and children with short stature.
",C17H11N5,285.3,"USP, INN, BAN","1. Haynes BP, et al. J Steroid Biochem Mol Biol, 2003, 87(1), 35-45."
1385,Picolamine,18-C6,3731-52-0,"125µl,10mMol/L",it acts as potential inhibitors of DPP-4,C6H8N2,108.14,INN,"1. Reddy PR, Shilpa A. Chem Biodivers. 2012 Oct;9(10):2262-81. "
1386,Naproxen,18-C7,22204-53-1,"125µl,10mMol/L","An anti-inflammatory agent with analgesic and antipyretic properties. Both the acid and its sodium salt are used in the treatment of rheumatoid arthritis and other rheumatic or musculoskeletal disorders, dysmenorrhea, and acute gout.
",C14H14O3,230.27,"USP, INN, BAN, JAN","1. Albertini R, et al. Inflamm Res. 2007 Jun;56(6):228-9. "
1387,Cyclocytidine HCl,18-C8,10212-25-6,"125µl,10mMol/L","Cyclocytidine is the prodrug of cytarabine, which is a pyrimidine nucleoside analog that inhibits the DNA synthesis and used mainly in the treatment of leukemia.",C9H12ClN3O4,261.66,"INN, JAN","1. Kirsch LE, et al. J Pharm Sci, 1984, 73(7), 896-902."
1388,Chlormadinone acetate,18-C9,302-22-7,"125µl,10mMol/L","An orally active synthetic progestational hormone used often in combinations as an oral contraceptive.
",C23H29ClO4,404.93,"USAN, INN, BAN, JAN","1. Kim JM, et al. Eur J Pharmacol. 2014 Mar 5;726:1-8."
1389,Proadifen HCl,18-C10,62-68-0,"125µl,10mMol/L",An inhibitor of drug metabolism and CYTOCHROME P-450 ENZYME SYSTEM activity.,C23H32ClNO2,389.96,"USAN, INN","1. Viana AP, Osswald W. Arzneimittelforschung. 1970 Jun;20(6):851-3."
1390,Rimantadine HCl,18-C11,1501-84-4,"125µl,10mMol/L",An RNA synthesis inhibitor that is used as an antiviral agent in the prophylaxis and treatment of influenza,C12H22ClN.HCl,215.76,"USP, INN, BAN","1. Liu BM, et al. Iran J Pharm Res. 2014 Fall;13(4):1183-90."
1391,Ibandronic acid,18-D2,114084-78-5,"125µl,10mMol/L","Ibandronate is a nitrogen-containing bisphosphonate in the same class as alendronate and risedronate. Ibandronate inhibits osteoclast-mediated bone resorption. All of the bisphosphonates prevent the breakdown of bone by bone cells called osteoclasts. In persons who are at high risk for osteoporosis, bisphosphonates not only result in increased amounts of bone and bone strength, they also reduce the risk of hip fractures and other bone fractures. ",C9H23NO7P2,319.23,"USAN, INN, BAN, JAN","1. Dunford JE, et al. J Pharmacol Exp Ther. 2001 Feb;296(2):235-42. "
1392,Doxifluridine,18-D3,436349,"125µl,10mMol/L",Doxifluridine is a Thymidylate synthase inhibitor.,C9H11FN2O5,246.19,"INN, JAN","1. Kang YK, et al. Br J Cancer. 2013 Apr 2;108(6):1245-51."
1393,Stigmasterol,18-D4,83-48-7,"125µl,10mMol/L","Extracted from Glycine max(L.)Merr.;Suitability:Chloroform,benzene,ethyl acetate,pyridine,ethanol,acetone;Store the product in sealed,cool and dry condition",C29H48O,412.69,"BP,EP","1. Kim YS, et al. BMB Rep. 2014 Aug;47(8):433-8."
1394,Valerin,18-D5,1069-66-5,"125µl,10mMol/L","Valproic acid is a HDAC inhibitor by selectively inducing proteasomal degradation of HDAC2, used in the treatment of epilepsy, bipolar disorder and prevention of migraine headaches.",C8H15NaO2,166.2,"USAN, JAN","1. Kramer OH, et al. EMBO J. 2003 Jul 1; 22(13): 3411-20. "
1395,Glipizide,18-D6,29094-61-9,"125µl,10mMol/L",Glipizide is used to treat high blood sugar levels caused by a type of diabetes mellitus.,C21H27N5O4S,445.54,"USP, INN, BAN","1. Gribble FM, Ashcroft FM. Metabolism. 2000 Oct;49(10 Suppl 2):3-6. "
1396,Acetohydroxamic acid,18-D7,546-88-3,"125µl,10mMol/L","Acetohydroxamic Acid, a synthetic drug derived from hydroxylamine and ethyl acetate, is similar in structure to urea. In the urine, it acts as an antagonist of the bacterial enzyme urease. Acetohydroxamic Acid has no direct antimicrobial action and does not acidify urine directly. It is used, in addition to antibiotics or medical procedures, to treat chronic urea-splitting urinary infections.
",C2H5NO2,75.07,"USP, INN","1. Palinska KA, et al. Microbiology. 2000 Dec;146 Pt 12:3099-107."
1397,Ezetimibe,18-D8,163222-33-1,"125µl,10mMol/L","Ezetimibe is an anti-hyperlipidemic medication which is used to lower cholesterol levels. Specifically, it appears to bind to a critical mediator of cholesterol absorption, the Niemann-Pick C1-Like 1 (NPC1L1) protein on the gastrointestinal tract epithelial cells as well as in hepatocytes.
",C24H21F2NO3,410.43,"USAN, INN, BAN","1. Singh A, et al. J Ind Microbiol Biotechnol. 2009 Nov;36(11):1369-74. "
1398,Vecuronium bromide,18-D9,50700-72-6,"125µl,10mMol/L","Monoquaternary homolog of PANCURONIUM. A non-depolarizing neuromuscular blocking agent with shorter duration of action than pancuronium. Its lack of significant cardiovascular effects and lack of dependence on good kidney function for elimination as well as its short duration of action and easy reversibility provide advantages over, or alternatives to, other established neuromuscular blocking agents.
",C34H57BrN2O4,637.73,"USAN, INN, BAN, JAN","1. Jonsson Fagerlund M, et al. Anesthesiology. 2009 Jun;110(6):1244-52."
1399,Nevirapine,18-D10,129618-40-2,"125µl,10mMol/L",Nevirapine is a Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor. ,C15H14N4O,266.3,"USP, INN, BAN","1. Ambrose Z, et al. J Virol. 2009 Apr; 83(8): 3826-33. "
1400,Tiratricol,18-D11,51-24-1,"125µl,10mMol/L",Tiratricol (also known as TRIAC or triiodothyroacetic acid) is a thyroid hormone analogue.,C14H9I3O4,621.93,INN,"1. Carvalho GA, et al. Arq Bras Endocrinol Metabol, 2004, 48(1), 83-92."
1401,Hydrastinine HCl,18-E2,4884-68-8,"125µl,10mMol/L","Hydrastinine is a semisynthetic alkaloid from the hydrolysis of the alkaloid hydrastine, which was found naturally in small quantities in Hydrastis canadensis L. (Ranunculaceae). Hydrastinine was produced by oxidative splitting of hydrastine hydrochloride with nitric acid in good yield. ",C11H14ClNO3,243.69,"INN, NF-VIII","1. POE CF, JOHNSON CC. Acta Pharmacol Toxicol (Copenh). 1954; 10(4):338-46."
1402,Pergolide mesylate salt,18-E3,66104-23-2,"125µl,10mMol/L","PERGOLIDE MESYLATE is a long-acting dopamine agonist which has been used to treat PARKINSON DISEASE and HYPERPROLACTINEMIA but withdrawn from some markets due to potential for HEART VALVE DISEASES.
",C20H30N2O3S2,410.59,"USP, INN, BAN","1. Fuller RW, et al. J Pharm Pharmacol. 1985 Apr;37(4):268-70. "
1403,Cozymasei,18-E4,53-84-9,"125µl,10mMol/L","Nadide is a coenzyme composed of ribosylnicotinamide 5'-diphosphate coupled to adenosine 5'-phosphate by pyrophosphate linkage. It is found widely in nature and is involved in numerous enzymatic reactions in which it serves as an electron carrier by being alternately oxidized (NAD+) and reduced (NADH). (Dorland, 27th ed)
",C21H27N7O14P2.XH2O,663.43,"USAN, INN, BAN, JAN","1. Pang J, et al. J Cell Physiol. 2015 Jul;230(7):1607-13."
1404,Metaxalone,18-E5,1665-48-1,"125µl,10mMol/L","Metaxalone (marketed by King Pharmaceuticals under the brand name Skelaxin®) is a muscle relaxant used to relax muscles and relieve pain caused by strains, sprains, and other musculoskeletal conditions. Its exact mechanism of action is not known, but it may be due to general central nervous system depression. It is considered to be a moderately strong muscle relaxant, with relatively low incidence of side effects. Skelaxin comes in an 800 mg scored tablet. It previously came in both 400 mg and 800 mg tablets. The 400 mg tablet has been discontinued. Possible side effects include nausea, vomiting, drowsiness and CNS side effects such as dizziness, headache, and irritability.
",C12H15NO3,221.25,"USAN, INN, BAN","1. Nirogi RV, et al. J Anal Toxicol. 2006 May;30(4):245-51."
1405,Isotretinoin,18-E6,4759-48-2,"125µl,10mMol/L","It was developed to be used as a chemotherapy medication for the treatment of brain cancer, pancreatic cancer and more.",C20H28O2,300.44,"USP, INN, BAN","1. Webster WS, et al. J Craniofac Genet Dev Biol, 1986, 6(3), 211-222.
"
1406,Hodostin,18-E7,51-60-5,"125µl,10mMol/L","Neostigmine methyl sulfate is a cholinesterase inhibitor used in the treatment of myasthenia gravis and to reverse the effects of muscle relaxants such as gallamine and tubocurarine. Neostigmine, unlike PHYSOSTIGMINE, does not cross the blood-brain barrier.
",C13H22N2O6S,334.39,"USP, JAN","1. Huang TH, et al. Yao Xue Xue Bao. 1982 Jul;17(7):534-9."
1407,Hydralazine HCl,18-E8,304-20-1,"125µl,10mMol/L",Hydralazine HCl is a hydrochloride salt of hydralazine (Apresoline) that is a direct-acting smooth muscle relaxant.,C8H9ClN4,196.64,"USP, INN, BAN","1. Claud P, et al. Drug Metab Dispos. 2001 May;29(5):735-41."
1408,Hydrocortisone,18-E9,50-23-7,"125µl,10mMol/L","The main glucocorticoid secreted by the adrenal cortex. Its synthetic counterpart is used, either as an injection or topically, in the treatment of inflammation, allergy, collagen diseases, asthma, adrenocortical deficiency, shock, and some neoplastic conditions. ",C21H30O5,362.46,"USP, INN, BAN, JAN","1. Grossman R, et al. Ann N Y Acad Sci. 2006 Jul;1071:410-21."
1409,Enalapril,18-E10,75847-73-3,"125µl,10mMol/L","Enalapril is an Angiotensin Converting Enzyme Inhibitor. The mechanism of action of enalapril is as an Angiotensin-converting Enzyme Inhibitor. The physiologic effect of enalapril is by means of Decreased Blood Pressure.
",C20H28N2O5,376.45,"USP, INN, BAN, JAN","1. Andujar-Sanchez M, et al. FEBS Lett. 2007 Jul 24;581(18):3449-54. "
1410,Fasudil,18-E11,103745-39-7,"125µl,10mMol/L","Fasudil hydrochloride (INN) is a potent Rho-kinase inhibitor and vasodilator. Since it was discovered, it has been used for the treatment of cerebral vasospasm, which is often due to subarachnoid hemorrhage, as well as to improve the cognitive decline seen in stroke victims. It has been found to be effective for the treatment of pulmonary hypertension.",C14H17N3O2S,291.37,INN,"1. Hu H, et al. Exp Mol Pathol. 2015 Apr;98(2):277-85."
1411,Irbesartan,18-F2,138402-11-6,"125µl,10mMol/L","Irbesartan is an angiotensin receptor blocker (ARB) used mainly for the treatment of hypertension. It competes with angiotensin II for binding at the AT1 receptor subtype. Unlike ACE inhibitors, ARBs do not have the adverse effect of dry cough. The use of ARBs is pending revision due to findings from several clinical trials suggesting that this class of drugs may be associated with a small increased risk of cancer. ",C25H28N6O,428.54,"USP, INN, BAN","1. Bernhart CA, et al. J Med Chem, 1993, 36(22), 3371-3380."
1412,Lopinavir,18-F3,192725-17-0,"125µl,10mMol/L",Lopinavir (also known as ABT-378) is a highly potent inhibitor of human immunodeficiency virus (HIV) protease that potently inhibits wild-type and mutant HIV protease,C37H48N4O5,628.8,,"1. Garriga C, et al. J Med Virol. 2007 Nov; 79(11):1617-28."
1413,Neostigmine bromide,18-F4,114-80-7,"125µl,10mMol/L","Neostigmine bromide(Prostigmin) is a reversible acetylcholinesterase inhibitor and a parasympatho-mimetic. By interfering with the breakdown of acetylcholine, neostigmine indirectly stimulates both nicotinic and muscarinic receptors. It binds to the anionic site of cholinesterase. The drug blocks the active site of acetylcholinesterase so the enzyme can no longer break down the acetylcholine molecules before they reach the postsynaptic membrane receptors. This allows for the threshold to be reached so a new impulse can be triggered in the next neuron. In myasthenia gravis there are too few acetylcholine receptors so with the acetylcholinesterase blocked, acetylcholine can bind to the few receptors and trigger a muscular contraction.",C12H19BrN2O2,303.2,"USP, INN, BAN, JAN","1. Trevisani GT, et al. Dis Colon Rectum. 2000 May;43(5):599-603. "
1414,Lomefloxacin HCl,18-F5,98079-52-8,"125µl,10mMol/L",Lomefloxacin hydrochloride (Maxaquin) is a hydrochloride salt of lomefloxacin and is a fluoroquinolone antibiotic.Lomefloxacin hydrochloride (Maxaquin) is used to treat bacterial infections including bronchitis and urinary tract infections. Lomefloxacin hydrochloride (Maxaquin) is also used to prevent urinary tract infections prior to surgery.,C17H20ClF2N3O3,387.81,"USAN, INN, BAN","1. Takenouchi T, et al. Antimicrob Agents Chemother. 1995 Jul;39(7):1414-8. "
1415,Alprostadil,18-F6,745-65-3,"125µl,10mMol/L",Alprostadil is a Prostaglandin Analog and Prostaglandin E1 Agonist. The mechanism of action of alprostadil is as a Prostaglandin Receptor Agonist. The physiologic effect of alprostadil is by means of Genitourinary Arterial Vasodilation and Venous Vasodilation. The chemical classification of alprostadil is Prostaglandins.,C20H34O5,354.48,USP,"1. Dijkstra BG, et al. Invest Ophthalmol Vis Sci. 1999 Oct; 40(11):2622-6. "
1416,Famotidine,18-F7,76824-35-6,"125µl,10mMol/L",A competitive histamine H2-receptor antagonist. Its main pharmacodynamic effect is the inhibition of gastric secretion.,C8H15N7O2S3,337.45,"USP, INN, BAN, JAN","1. Takahashi HK, et al. Mol Pharmacol. 2006 Aug;70(2):450-3."
1417,Rivastigmine tartrate,18-F8,129101-54-8,"125µl,10mMol/L",Rivastigmine is a parasympathomimetic or cholinergic agent for the treatment of mild to moderate dementia of the Alzheimer's type and dementia due to Parkinson's disease.,C14H22N2O2.C4H6O6,400.43,USP,"1. Kennedy JS, et al. J Clin Psychopharmacol. 1999 Dec;19(6):513-21."
1418,Rifapentine,18-F9,61379-65-5,"125µl,10mMol/L","Rifapentine is an antibiotic drug used in the treatment of tuberculosis. It inhibits DNA-dependent RNA polymerase activity in susceptible cells. Specifically, it interacts with bacterial RNA polymerase but does not inhibit the mammalian enzyme.  ",C47H64N4O12,877.03,USP,"1. Williams DL, et al. Antimicrob Agents Chemother. 1998 Jul;42(7):1853-7."
